

Measurement ID;3740
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;6/7/2017 8:39:18 AM
End Time;1/2/1970
Test section;EIS00009
Comment;
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
6/9/2017 10:48:59 PM;58;EIS;62:09:30.671;00:00:21.413;1;1;Pan_5pulse_EIS_0dC;3.46403;0.00000;-2.03001;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.46455;28.07208;7.57883;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99229;0.34126;29.07715;15.10837;-10.00000;-10.00000;-7.70004;
6/9/2017 10:49:10 PM;58;EIS;62:09:41.354;00:00:32.096;1;1;Pan_5pulse_EIS_0dC;3.46403;0.00000;-2.03001;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.46451;27.90792;5.34371;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97578;0.34340;28.41491;10.83960;-10.00000;-10.00000;-7.91299;
6/9/2017 10:49:20 PM;58;EIS;62:09:51.971;00:00:42.713;1;1;Pan_5pulse_EIS_0dC;3.46403;0.00000;-2.03001;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.46571;27.91013;3.32188;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98806;0.35153;28.10712;6.78744;-10.00000;-10.00000;-7.91299;
6/9/2017 10:49:31 PM;58;EIS;62:10:02.766;00:00:53.508;1;1;Pan_5pulse_EIS_0dC;3.46403;0.00000;-2.03001;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.46284;28.11082;1.50971;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00090;0.35554;28.15133;3.07416;-10.00000;-10.00000;-7.71125;
6/9/2017 10:49:42 PM;58;EIS;62:10:13.472;00:01:04.214;1;1;Pan_5pulse_EIS_0dC;3.46403;0.00000;-2.03001;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.46592;28.47399;0.04781;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01100;0.35506;28.47403;0.09621;-10.00000;-10.00000;-7.70004;
6/9/2017 10:49:53 PM;58;EIS;62:10:24.317;00:01:15.059;1;1;Pan_5pulse_EIS_0dC;3.46467;0.00000;-2.03001;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.46603;28.93213;-1.10808;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01652;0.35109;28.95334;-2.19332;-10.00000;-10.00000;-7.91299;
6/9/2017 10:50:03 PM;58;EIS;62:10:35.114;00:01:25.856;1;1;Pan_5pulse_EIS_0dC;3.46467;0.00000;-2.03001;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.47182;29.53717;-2.19122;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02273;0.34530;29.61834;-4.24272;-10.00000;-10.00000;-7.70004;
6/9/2017 10:50:14 PM;58;EIS;62:10:46.045;00:01:36.787;1;1;Pan_5pulse_EIS_0dC;3.46467;0.00000;-2.03001;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.47376;30.23215;-3.12837;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02616;0.33762;30.39358;-5.90783;-10.00000;-10.00000;-7.70004;
6/9/2017 10:50:25 PM;58;EIS;62:10:57.063;00:01:47.805;1;1;Pan_5pulse_EIS_0dC;3.46467;0.00000;-2.03001;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.47456;31.02650;-3.98770;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02906;0.32897;31.28171;-7.32383;-10.00000;-10.00000;-7.90179;
