

Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00012
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/26/2017 10:17:18 AM;58;EIS;40:43:34.313;02:58:05.412;3;1;Pan_5pulse_EIS_0dC;3.37717;0.00000;-2.32002;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.37377;25.24793;7.96415;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99769;0.37685;26.47424;17.50723;0.00000;0.00000;1.80452;
5/26/2017 10:17:29 AM;58;EIS;40:43:45.004;02:58:16.103;3;1;Pan_5pulse_EIS_0dC;3.37652;0.00000;-2.32002;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.37151;24.99272;5.76223;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96747;0.37720;25.64838;12.98304;0.00000;0.00000;1.80452;
5/26/2017 10:17:39 AM;58;EIS;40:43:55.610;02:58:26.709;3;1;Pan_5pulse_EIS_0dC;3.37588;0.00000;-2.32002;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.37539;24.91823;3.79599;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98174;0.38949;25.20571;8.66173;0.00000;0.00000;1.80452;
5/26/2017 10:17:50 AM;58;EIS;40:44:06.388;02:58:37.487;3;1;Pan_5pulse_EIS_0dC;3.37588;0.00000;-2.32002;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.36823;25.03523;2.05884;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99591;0.39647;25.11974;4.70130;0.00000;0.00000;1.81573;
5/26/2017 10:18:01 AM;58;EIS;40:44:17.021;02:58:48.120;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.36902;25.30890;0.68273;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99591;0.39791;25.31810;1.54522;0.00000;0.00000;1.80452;
5/26/2017 10:18:11 AM;58;EIS;40:44:27.730;02:58:58.829;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.37282;25.67394;-0.38121;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01395;0.39489;25.67677;-0.85068;0.00000;0.00000;1.80452;
5/26/2017 10:18:22 AM;58;EIS;40:44:38.483;02:59:09.582;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.36577;26.16560;-1.34796;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02015;0.38937;26.20030;-2.94906;0.00000;0.00000;1.81573;
5/26/2017 10:18:33 AM;58;EIS;40:44:49.331;02:59:20.430;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.36221;26.73340;-2.15205;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02015;0.38166;26.81988;-4.60240;0.00000;0.00000;1.81573;
5/26/2017 10:18:44 AM;58;EIS;40:45:00.300;02:59:31.399;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.37487;27.37679;-2.85584;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02618;0.37281;27.52534;-5.95534;0.00000;0.00000;1.81573;
5/26/2017 10:18:55 AM;58;EIS;40:45:11.442;02:59:42.541;3;1;Pan_5pulse_EIS_0dC;3.37588;0.00000;-2.32002;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.36058;28.09151;-3.47956;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02824;0.36326;28.30618;-7.06099;0.00000;0.00000;1.80452;
5/26/2017 10:19:06 AM;58;EIS;40:45:22.818;02:59:53.917;3;1;Pan_5pulse_EIS_0dC;3.37652;0.00000;-2.32002;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.37611;28.89506;-4.05605;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03070;0.35324;29.17835;-7.99051;0.00000;0.00000;1.80452;
