

Measurement ID;3576
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;5/4/2017 8:18:56 AM
End Time;5/6/2017 11:56:52 AM
Test section;EIS00009
Comment;10degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/5/2017 4:10:10 PM;53;EIS;31:51:04.811;00:00:21.650;1;1;Pan_5pulse_EISSOC;3.53802;0.00000;-2.03000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.54073;23.00534;8.23630;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99759;0.40826;24.43527;19.69823;0.00000;0.00000;12.20574;
5/5/2017 4:10:21 PM;53;EIS;31:51:15.850;00:00:32.689;1;1;Pan_5pulse_EISSOC;3.53802;0.00000;-2.03000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.54032;22.70596;6.11564;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96106;0.40870;23.51513;15.07435;0.00000;0.00000;12.00399;
5/5/2017 4:10:32 PM;53;EIS;31:51:26.821;00:00:43.660;1;1;Pan_5pulse_EISSOC;3.53802;0.00000;-2.03000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.53882;22.56219;4.22638;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97513;0.42481;22.95462;10.60977;0.00000;0.00000;12.21695;
5/5/2017 4:10:43 PM;53;EIS;31:51:37.885;00:00:54.724;1;1;Pan_5pulse_EISSOC;3.53802;0.00000;-2.03000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.54037;22.59646;2.57312;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99015;0.43537;22.74249;6.49645;0.00000;0.00000;12.21695;
5/5/2017 4:10:54 PM;53;EIS;31:51:48.896;00:01:05.735;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.53774;22.77927;1.28231;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00285;0.43955;22.81533;3.22194;0.00000;0.00000;12.21695;
5/5/2017 4:11:05 PM;53;EIS;31:52:00.307;00:01:17.146;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.53742;23.05021;0.30826;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01016;0.43820;23.05227;0.76619;0.00000;0.00000;12.21695;
5/5/2017 4:11:16 PM;53;EIS;31:52:11.419;00:01:28.258;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.53630;23.42554;-0.54873;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01632;0.43373;23.43197;-1.34188;0.00000;0.00000;12.21695;
5/5/2017 4:11:28 PM;53;EIS;31:52:22.896;00:01:39.735;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.53335;23.86217;-1.23011;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01960;0.42672;23.89385;-2.95102;0.00000;0.00000;12.00399;
5/5/2017 4:11:39 PM;53;EIS;31:52:34.159;00:01:50.998;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.54059;24.35243;-1.79354;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02187;0.41848;24.41838;-4.21220;0.00000;0.00000;12.00399;
5/5/2017 4:11:50 PM;53;EIS;31:52:45.500;00:02:02.339;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.54068;24.88899;-2.26038;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02339;0.40950;24.99143;-5.18928;0.00000;0.00000;12.20574;
5/5/2017 4:12:02 PM;53;EIS;31:52:57.186;00:02:14.025;1;1;Pan_5pulse_EISSOC;3.53866;0.00000;-2.03000;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.54312;25.47633;-2.66201;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02474;0.40005;25.61503;-5.96517;0.00000;0.00000;12.21695;
