

Measurement ID;3576
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;5/4/2017 8:18:56 AM
End Time;5/6/2017 11:56:52 AM
Test section;EIS00001
Comment;10degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/4/2017 9:19:44 AM;37;EIS;01:00:40.617;00:00:22.544;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;4.16940;22.02024;7.86199;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99744;0.42659;23.38166;19.64833;0.00000;0.00000;12.19453;
5/4/2017 9:19:55 AM;37;EIS;01:00:51.886;00:00:33.813;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;4.17140;21.70583;5.81783;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.95972;0.42707;22.47199;15.00435;0.00000;0.00000;12.19453;
5/4/2017 9:20:06 AM;37;EIS;01:01:03.418;00:00:45.345;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;4.17024;21.55488;3.97790;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97436;0.44453;21.91887;10.45616;0.00000;0.00000;12.19453;
5/4/2017 9:20:18 AM;37;EIS;01:01:14.719;00:00:56.646;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;4.17051;21.58919;2.35371;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97436;0.45589;21.71712;6.22197;0.00000;0.00000;12.39628;
5/4/2017 9:20:29 AM;37;EIS;01:01:26.154;00:01:08.081;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;4.16606;21.78036;1.07483;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00374;0.46029;21.80687;2.82517;0.00000;0.00000;12.39628;
5/4/2017 9:20:40 AM;37;EIS;01:01:37.457;00:01:19.384;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;4.16731;22.06491;0.10020;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01163;0.45847;22.06513;0.26019;0.00000;0.00000;12.39628;
5/4/2017 9:20:53 AM;37;EIS;01:01:49.822;00:01:31.749;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;4.17025;22.46206;-0.76692;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01834;0.45310;22.47515;-1.95549;0.00000;0.00000;12.39628;
5/4/2017 9:21:04 AM;37;EIS;01:02:01.361;00:01:43.288;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;4.17024;22.92570;-1.46576;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02206;0.44490;22.97250;-3.65823;0.00000;0.00000;12.40748;
5/4/2017 9:21:16 AM;37;EIS;01:02:12.940;00:01:54.867;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;4.17026;23.45081;-2.05111;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02465;0.43528;23.54034;-4.99863;0.00000;0.00000;12.19453;
5/4/2017 9:21:28 AM;37;EIS;01:02:24.784;00:02:06.711;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;4.17031;24.02802;-2.54387;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02630;0.42475;24.16230;-6.04345;0.00000;0.00000;12.40748;
5/4/2017 9:21:40 AM;37;EIS;01:02:36.986;00:02:18.913;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;4.17053;24.66365;-2.97586;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02798;0.41380;24.84253;-6.87992;0.00000;0.00000;12.39628;
5/4/2017 9:21:52 AM;37;EIS;01:02:49.397;00:02:31.324;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;4.16684;25.32663;-3.34756;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02798;0.40249;25.54691;-7.52945;0.00000;0.00000;12.40748;
5/4/2017 9:22:05 AM;37;EIS;01:03:02.308;00:02:44.235;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;4.18037;26.03692;-3.68529;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03013;0.39174;26.29643;-8.05617;0.00000;0.00000;12.39628;
5/4/2017 9:22:17 AM;37;EIS;01:03:14.529;00:02:56.456;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;4.17827;26.78213;-3.99901;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02923;0.38008;27.07904;-8.49245;0.00000;0.00000;12.19453;
5/4/2017 9:22:30 AM;37;EIS;01:03:27.119;00:03:09.046;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;4.17030;27.57203;-4.29540;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03016;0.36917;27.90461;-8.85483;0.00000;0.00000;12.20574;
5/4/2017 9:22:42 AM;37;EIS;01:03:39.211;00:03:21.138;1;1;Pan_5pulse_EISSOC;4.16790;0.00000;0.00000;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;4.17059;28.40014;-4.57949;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03099;0.35839;28.76699;-9.16002;0.00000;0.00000;12.27299;
