

Measurement ID;3541
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;4/27/2017 8:51:52 AM
End Time;4/29/2017 3:04:43 PM
Test section;EIS00008
Comment;25degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
4/28/2017 11:53:12 AM;46;EIS;27:01:12.295;00:00:21.841;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.60242;21.69844;9.30357;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99725;0.42241;23.60887;23.20805;25.00000;25.00000;26.64191;
4/28/2017 11:53:22 AM;46;EIS;27:01:23.046;00:00:32.592;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.60292;21.33128;7.06305;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99725;0.42296;22.47021;18.32035;25.00000;25.00000;26.65312;
4/28/2017 11:53:33 AM;46;EIS;27:01:34.004;00:00:43.550;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.60086;21.12089;5.10285;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96582;0.44449;21.72858;13.58250;25.00000;25.00000;26.65312;
4/28/2017 11:53:44 AM;46;EIS;27:01:44.975;00:00:54.521;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.59897;21.07381;3.42510;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98180;0.45985;21.35034;9.23148;25.00000;25.00000;26.64191;
4/28/2017 11:53:55 AM;46;EIS;27:01:56.070;00:01:05.616;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.59817;21.16214;2.15240;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99587;0.46817;21.27132;5.80758;25.00000;25.00000;26.64191;
4/28/2017 11:54:06 AM;46;EIS;27:02:07.160;00:01:16.706;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.59878;21.32783;1.22246;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00405;0.47000;21.36283;3.28047;25.00000;25.00000;26.65312;
4/28/2017 11:54:17 AM;46;EIS;27:02:18.185;00:01:27.731;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.60758;21.56473;0.43413;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00943;0.46800;21.56910;1.15329;25.00000;25.00000;26.65312;
4/28/2017 11:54:29 AM;46;EIS;27:02:29.931;00:01:39.477;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.60211;21.84155;-0.16416;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01255;0.46358;21.84217;-0.43064;25.00000;25.00000;26.65312;
4/28/2017 11:54:40 AM;46;EIS;27:02:41.211;00:01:50.757;6;1;Pan_5pulse_EISSOC;3.60043;0.00000;-1.74002;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.60687;22.14736;-0.63370;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01430;0.45779;22.15643;-1.63896;25.00000;25.00000;26.44016;
